heure_estimee,complexite,priorite,tache,experience_technicien,meteo,saison,duree_reelle
1,1,3,7,0.93,0,1,0.5
1,3,1,23,0.79,2,0,4.63
3,1,3,4,0.88,1,1,2.59
1,2,4,17,0.74,0,1,0.5
4,1,1,16,1.4,3,0,6.07
3,1,3,5,0.89,3,1,3.87
4,2,1,21,1.28,2,0,5.35
3,3,1,10,0.85,2,2,8.76
4,2,2,9,1.03,1,3,4.98
3,3,4,1,0.95,3,3,7.27
1,1,4,9,1.4,3,2,5.08
3,1,4,7,0.74,2,1,3.37
3,3,2,25,1.3,0,1,0.5
2,2,2,13,0.61,1,0,1.08
4,1,3,8,1.67,2,3,5.6
2,3,2,6,1.66,3,2,6.09
2,3,2,7,1.31,1,2,2.96
3,2,3,16,0.56,1,0,2.85
3,2,2,19,0.69,2,2,6.2
3,1,4,16,1.71,0,2,1.24
4,1,1,14,1.4,3,0,6.26
4,3,2,13,1.77,2,2,7.06
1,3,2,9,1.48,2,3,4.88
2,3,2,2,1.6,3,1,4.49
3,3,3,6,1.78,2,3,6.66
4,2,1,11,1.55,3,1,5.37
4,1,1,17,1.94,2,0,4.3
2,1,3,2,0.78,3,3,6.33
1,2,2,14,1.54,0,1,0.5
3,2,2,23,1.96,1,2,2.96
1,2,2,14,0.63,2,0,3.55
4,1,2,13,1.88,2,0,5.8
3,3,1,0,1.6,0,3,4.72
1,1,2,17,1.9,3,2,4.79
4,2,4,8,0.67,2,0,6.16
2,2,2,2,1.35,3,3,7.53
3,1,2,7,1.92,0,2,1.06
2,3,4,5,1.97,0,0,1.32
2,2,4,23,0.64,3,0,5.21
3,1,1,21,0.71,3,2,7.5
3,2,4,21,1.34,1,1,0.5
4,2,4,13,1.0,2,0,4.27
3,1,4,19,0.88,1,1,0.5
2,1,2,8,1.51,1,3,3.65
4,3,1,9,1.95,0,1,4.05
1,2,4,7,1.01,3,0,2.09
1,1,3,24,1.07,0,0,0.5
2,3,3,4,1.96,0,3,1.77
1,2,4,23,0.94,0,2,1.3
1,2,3,17,1.0,3,0,3.9
4,3,2,13,1.9,2,1,6.45
3,1,3,24,1.99,3,2,4.94
2,2,3,17,0.79,0,2,3.36
2,2,1,7,0.56,2,3,8.09
3,2,2,18,1.11,1,2,4.99
3,3,2,14,1.44,3,1,4.75
4,3,1,24,1.47,2,2,9.19
1,2,3,17,1.17,2,1,2.46
3,1,4,3,0.86,0,3,4.33
2,1,1,11,0.61,0,0,2.51
3,1,3,13,1.98,1,2,1.48
3,2,3,11,0.65,2,2,5.0
1,2,2,17,1.27,3,2,5.4
1,3,2,22,0.84,2,2,5.79
4,1,4,8,0.84,3,2,5.73
2,2,2,19,1.04,3,2,5.36
2,1,4,0,1.55,0,0,0.82
2,1,1,1,0.95,0,2,1.54
3,1,3,7,1.56,0,0,1.13
1,1,4,7,1.52,0,2,0.5
3,1,4,18,1.82,0,1,0.5
4,3,3,14,0.75,1,3,7.24
1,2,1,4,1.32,3,1,2.42
3,3,4,24,1.62,0,3,4.57
2,3,1,21,0.87,3,2,7.99
4,1,2,8,1.39,1,2,3.79
1,3,2,3,0.78,3,2,5.35
4,2,1,20,0.93,0,3,6.6
3,2,4,25,0.52,2,2,5.95
2,1,2,15,0.93,2,2,4.18
2,3,1,17,1.86,1,1,1.52
4,1,3,17,0.74,1,2,2.96
1,3,1,23,1.03,0,2,3.51
1,3,2,13,0.68,0,3,2.06
4,2,3,12,1.31,0,2,5.12
4,3,2,12,1.18,0,0,5.28
2,1,3,13,1.43,0,3,0.81
4,3,4,7,1.4,0,1,1.08
2,1,2,18,0.95,2,0,2.84
4,2,3,2,1.11,0,0,2.56
1,2,3,22,0.91,2,3,4.0
1,1,2,5,1.35,2,0,2.88
2,1,1,1,1.41,3,1,5.01
3,1,4,22,0.86,0,2,1.77
4,3,4,22,1.51,1,0,5.14
4,2,3,25,1.26,2,3,8.51
3,1,2,7,1.03,2,1,3.15
2,3,2,9,1.43,3,2,7.5
3,3,2,13,0.78,0,0,2.43
3,2,4,22,1.64,2,1,2.64
3,3,1,14,1.71,0,1,0.86
3,2,4,22,0.7,0,1,0.5
1,1,4,7,1.53,1,3,1.67
3,3,1,9,1.87,2,2,5.77
4,1,2,0,1.23,2,0,4.08
4,1,1,2,1.01,3,1,5.06
4,3,4,11,1.71,3,3,10.21
1,3,1,18,1.61,3,0,5.56
2,1,1,22,0.88,0,0,0.97
3,1,3,21,1.06,2,3,5.95
2,2,4,11,1.59,0,2,1.69
3,2,3,23,1.85,3,3,6.59
1,1,3,25,1.91,2,0,2.52
3,1,2,20,0.56,0,0,0.85
3,2,1,5,0.83,2,1,3.95
3,1,3,19,1.91,2,2,5.21
3,2,1,19,1.62,3,0,5.25
1,2,1,6,0.85,0,1,0.5
4,3,1,24,1.74,0,2,3.73
4,2,1,10,0.63,2,1,4.79
2,1,4,5,1.41,3,3,6.37
4,2,3,11,0.64,3,2,7.13
3,1,3,19,1.1,3,1,3.61
1,2,4,0,1.02,1,1,0.5
1,3,2,3,1.53,2,3,4.74
2,2,1,4,0.9,0,1,0.5
3,3,1,7,1.36,2,1,5.21
1,2,2,6,1.12,0,1,0.5
3,2,1,25,1.38,3,3,7.2
1,3,4,12,0.54,1,3,3.34
2,2,1,16,0.7,0,3,2.68
2,3,3,12,0.66,0,2,3.62
3,1,4,11,1.33,3,3,7.5
1,3,1,14,1.77,0,1,0.56
2,1,2,1,0.59,2,0,2.27
1,1,1,15,0.62,3,2,4.04
4,1,2,25,0.53,3,3,9.62
4,2,4,0,1.94,2,2,5.74
2,3,3,23,1.15,0,0,2.92
4,2,2,21,1.95,0,1,2.52
2,1,3,4,0.77,3,0,4.54
4,2,1,14,0.92,3,3,8.42
4,3,4,25,1.13,0,2,2.83
3,1,2,10,1.37,3,3,7.02
4,1,2,18,1.1,0,0,1.21
1,2,2,25,1.35,3,1,2.59
3,2,4,22,1.82,2,2,6.36
4,1,2,25,1.28,0,0,2.46
4,1,3,24,1.74,1,3,3.91
2,2,1,25,1.55,0,2,0.75
1,3,3,21,1.04,2,1,3.69
3,2,2,18,1.99,1,3,5.48
4,3,4,13,1.95,1,0,2.93
1,2,3,5,1.66,1,3,1.11
1,2,2,4,0.9,0,0,1.39
1,2,4,2,1.86,2,0,1.17
1,3,3,5,1.6,1,2,2.18
3,2,4,6,0.52,2,2,5.69
3,1,4,22,0.77,0,1,0.5
4,2,3,4,1.78,0,0,3.11
4,3,1,14,1.39,1,0,5.96
3,1,2,9,1.7,1,0,3.13
3,3,3,10,1.97,0,1,0.66
3,3,1,16,1.38,3,3,8.37
2,2,1,10,1.36,1,1,1.46
1,1,2,12,1.72,1,3,0.57
4,2,1,2,1.58,0,2,4.27
2,1,3,9,0.94,3,0,2.83
3,3,2,21,1.38,0,0,2.57
4,2,4,16,0.76,2,2,6.97
2,3,3,25,1.92,3,0,6.53
2,3,3,17,1.7,2,0,4.54
1,3,2,1,1.33,1,1,0.5
3,2,2,7,1.77,1,3,5.52
2,2,2,19,1.68,2,2,4.39
3,2,1,2,1.67,1,0,3.53
3,1,4,24,0.69,1,1,1.12
4,3,2,20,1.43,3,2,7.69
4,3,4,15,1.46,2,1,3.6
1,2,3,18,0.8,0,2,2.42
4,3,4,9,1.15,2,2,6.88
1,2,1,25,1.37,0,3,1.32
4,3,1,14,1.64,1,0,6.27
3,3,1,3,1.93,0,0,3.03
2,1,1,22,1.57,2,1,3.58
2,1,4,13,0.88,2,0,2.22
1,1,4,2,0.84,1,3,0.95
4,3,4,11,1.76,2,1,3.51
4,2,4,13,1.89,2,3,6.46
3,3,4,13,0.53,2,2,5.17
3,2,2,21,1.05,3,2,6.03
4,3,4,0,1.89,1,2,5.34
1,1,1,25,0.72,0,2,0.5
3,2,1,15,1.06,1,1,0.98
3,1,3,19,0.61,2,3,7.11
2,1,1,8,1.99,2,1,1.5
2,3,2,22,1.55,1,0,3.72
2,3,4,7,1.83,1,3,4.03
2,1,1,9,1.77,0,1,0.5
1,3,1,16,0.81,1,1,1.05
4,1,1,17,1.95,3,0,6.09
4,3,3,6,1.13,0,3,6.12
4,1,2,1,1.54,0,1,1.96
1,3,1,6,1.9,3,0,5.22
4,3,3,24,1.41,1,1,3.95
1,2,1,20,1.67,3,2,4.16
4,2,3,22,1.09,0,1,1.07
3,2,1,13,0.57,3,0,5.86
2,2,3,1,1.6,1,0,0.85
2,1,4,19,1.01,2,2,5.23
1,3,1,7,1.91,2,3,5.74
2,1,4,4,1.28,3,1,4.09
2,1,1,7,1.67,3,3,6.68
3,1,1,5,1.66,3,3,6.39
4,3,2,21,1.75,2,2,8.84
3,2,4,22,0.63,3,3,7.59
2,1,3,24,0.63,1,1,1.05
4,1,4,0,0.69,0,0,3.21
4,2,1,5,0.77,3,0,6.94
1,1,2,20,0.53,2,1,0.68
2,3,2,5,1.21,0,0,0.77
1,1,4,20,0.61,2,0,2.97
4,3,2,11,1.53,1,0,5.64
4,2,1,14,1.4,3,2,7.19
4,3,1,24,1.12,0,0,5.42
4,1,3,9,1.02,0,0,2.04
1,1,2,9,1.97,2,3,3.04
1,2,1,12,1.85,2,1,3.29
2,2,4,13,1.58,0,2,0.5
4,3,2,1,0.99,2,0,7.3
2,3,1,14,1.39,0,0,1.01
3,2,1,8,0.64,0,1,1.24
3,2,3,13,1.98,2,0,4.8
1,2,3,18,1.85,0,3,0.94
4,1,1,18,1.55,3,0,7.25
3,1,2,4,0.96,1,2,2.96
3,1,4,18,0.79,3,2,6.63
1,1,2,24,0.58,1,3,4.09
1,1,3,18,0.59,0,2,0.77
3,2,1,7,2.0,2,1,3.52
4,2,3,25,1.6,1,2,5.25
3,2,2,23,1.33,1,2,5.23
3,2,1,24,1.07,3,0,6.17
1,3,3,16,1.11,1,2,3.07
3,2,3,15,1.38,3,1,4.88
1,2,1,6,1.56,2,3,5.78
1,3,3,19,1.96,3,2,4.08
2,1,3,16,1.31,2,1,2.54
3,1,3,11,0.88,3,3,8.44
2,2,3,8,1.74,1,3,4.93
3,3,4,11,0.83,3,0,7.45
1,1,4,10,1.93,2,3,4.36
1,2,4,22,0.91,0,1,0.5
1,1,3,14,1.78,2,1,1.38
2,1,4,18,1.25,3,0,3.0
2,3,4,3,0.6,0,0,2.2
3,2,3,16,0.98,1,3,4.19
3,2,4,19,0.56,0,0,0.66
3,1,1,24,0.72,3,1,4.3
4,2,1,21,1.98,3,0,6.98
4,3,1,4,0.59,2,0,6.79
1,1,4,20,1.93,1,3,2.33
2,2,1,21,0.97,1,2,3.78
2,3,4,9,1.51,1,0,2.58
3,2,4,11,0.62,0,0,2.26
1,1,2,8,1.81,1,3,0.73
3,1,2,23,0.81,1,1,0.9
3,1,2,25,0.55,0,2,2.14
4,1,4,15,1.55,0,2,3.19
4,1,1,8,1.86,0,1,0.7
1,2,4,2,0.61,0,3,2.43
1,3,4,13,1.19,3,2,4.99
3,1,4,0,1.17,2,0,4.23
3,1,1,22,1.93,0,2,2.48
4,3,4,14,1.26,1,2,6.06
3,2,4,9,0.91,1,1,1.96
1,3,3,13,1.72,3,0,4.94
1,3,4,1,1.02,1,3,3.31
2,3,2,10,0.79,2,3,7.0
4,3,3,5,0.85,3,3,9.46
4,3,2,5,0.91,1,0,4.75
4,3,4,0,1.92,2,1,3.97
3,3,4,24,1.4,3,1,6.39
4,3,2,19,1.65,0,2,5.26
1,2,1,17,0.52,2,2,6.15
4,2,4,25,0.65,1,2,4.0
1,2,2,8,1.4,0,1,0.5
4,2,2,8,1.14,2,2,8.15
3,1,4,6,1.04,0,1,1.16
3,1,4,2,0.97,1,2,1.61
3,1,1,6,1.4,3,2,5.37
2,1,3,24,1.81,2,0,2.4
1,3,1,11,1.71,2,1,4.02
3,1,4,4,1.39,3,0,3.18
3,2,1,15,1.75,0,1,0.5
2,2,2,4,1.06,1,2,2.59
1,2,3,9,1.97,0,0,0.5
2,2,3,8,1.18,0,3,2.49
3,2,4,20,1.11,2,3,6.69
1,1,2,11,1.5,1,2,2.53
1,3,1,18,1.22,0,2,1.73
3,3,2,9,1.86,3,0,5.57
4,1,4,24,1.87,0,1,1.57
3,2,1,10,1.74,1,2,4.0
2,2,4,9,0.96,3,0,5.69
4,3,4,1,1.76,2,3,8.12
2,3,1,14,1.57,3,3,6.58
1,2,2,6,1.07,2,0,2.18
3,2,4,18,0.89,1,2,3.35
2,1,1,7,1.75,0,2,0.5
2,1,3,20,0.89,2,1,3.05
4,2,2,24,1.97,0,1,0.5
1,3,2,16,0.88,2,2,6.04
1,3,3,19,0.84,2,1,3.78
1,3,1,20,1.84,0,2,1.5
4,1,3,23,0.58,2,2,7.26
3,3,2,25,0.68,2,1,4.63
1,3,1,5,1.03,3,1,4.98
3,1,2,25,0.63,1,3,4.85
3,1,2,6,0.75,3,1,5.69
2,3,4,18,1.52,0,0,2.28
1,2,2,0,1.03,2,1,3.44
4,3,2,12,1.86,2,0,6.26
1,1,4,4,1.66,2,3,3.36
3,1,2,16,1.68,3,3,6.63
3,3,4,7,0.57,2,0,4.1
2,2,1,0,0.55,2,0,4.64
4,2,4,13,0.71,3,2,6.94
4,2,2,22,1.67,2,1,4.87
4,1,4,18,0.67,1,0,2.47
3,2,3,24,1.11,3,0,6.99
4,2,1,16,1.27,3,3,10.42
1,3,3,1,1.5,0,2,0.5
2,2,4,18,1.53,0,2,1.1
4,2,2,0,0.84,3,3,8.81
3,2,4,7,0.83,1,3,3.97
4,3,4,0,1.23,3,2,8.6
2,1,4,5,1.45,3,0,3.78
1,1,4,21,0.68,1,0,1.59
2,1,1,7,0.57,2,0,4.64
3,1,2,0,0.77,1,0,1.38
3,1,4,21,1.99,2,3,4.13
4,3,4,21,1.32,0,2,4.15
4,2,4,4,1.29,2,2,7.38
3,1,2,18,1.54,2,3,5.5
3,1,4,6,1.78,3,1,4.72
2,1,2,8,0.52,1,2,4.04
3,1,2,18,1.37,3,3,6.94
4,2,1,17,1.75,0,2,3.65
4,1,3,14,0.53,0,2,2.28
2,3,1,13,1.76,2,3,6.68
2,3,4,9,1.68,3,1,4.01
2,1,4,6,1.06,2,3,3.83
2,2,2,17,1.18,2,0,5.13
1,3,3,4,1.53,1,2,2.46
4,3,1,25,1.35,2,1,5.63
3,2,2,15,1.89,0,1,0.5
1,2,1,0,1.42,0,1,0.5
3,1,2,24,0.87,3,1,5.29
4,2,4,10,1.53,1,1,2.93
1,3,3,10,1.08,0,2,2.87
3,3,1,17,1.29,0,0,1.89
4,3,1,1,1.62,2,1,5.07
1,2,2,15,1.93,3,1,3.35
1,1,1,20,1.53,1,2,2.13
2,3,4,21,1.41,1,0,0.87
3,1,2,3,1.64,3,1,2.71
2,3,3,2,1.36,1,3,3.65
1,3,3,18,1.77,0,3,2.14
2,2,4,17,1.37,1,2,2.16
1,2,2,5,0.57,0,3,3.29
1,1,3,10,1.43,3,1,1.11
4,2,1,21,1.21,0,2,3.02
2,2,4,16,1.05,2,0,4.77
1,3,3,6,1.91,1,0,0.5
1,3,2,23,0.82,0,2,1.55
4,3,2,19,1.17,3,0,6.79
1,1,1,13,1.04,3,1,2.99
1,2,4,25,1.65,0,1,0.5
1,2,3,17,1.69,1,0,0.5
2,3,1,3,1.17,0,1,1.34
4,2,4,22,0.92,1,0,5.09
4,1,4,4,1.02,0,1,2.32
4,3,4,12,0.94,3,3,10.67
4,2,3,21,1.86,1,1,2.21
3,1,3,21,0.88,1,1,2.75
1,3,3,9,1.99,3,1,2.79
1,3,1,3,0.66,2,3,6.86
3,3,4,25,1.24,0,0,3.22
4,1,2,6,0.84,1,3,4.16
1,1,2,15,1.96,2,3,3.34
1,1,4,11,0.63,1,0,0.5
4,1,3,8,1.05,1,0,1.82
4,1,3,3,0.69,0,2,3.61
3,3,2,18,1.09,1,3,6.84
1,2,4,0,0.95,3,1,1.81
4,2,1,10,1.45,3,0,8.12
1,1,4,19,0.56,3,1,2.34
2,1,1,19,0.79,2,2,3.64
4,1,2,24,0.51,0,0,3.74
3,2,4,13,1.92,2,1,2.52
2,1,2,3,1.14,0,3,2.35
4,3,3,7,0.5,3,2,8.69
1,1,3,5,1.35,1,0,0.5
1,1,4,11,1.09,2,2,3.85
2,2,4,10,0.53,1,2,3.22
1,1,4,24,1.98,2,2,3.77
3,1,2,21,0.88,0,2,1.22
3,3,2,15,0.72,3,2,8.79
2,1,4,25,0.77,0,3,2.65
3,2,4,0,0.72,0,2,4.0
4,1,2,5,1.74,2,2,7.08
2,3,2,18,0.81,3,0,7.16
4,1,1,8,1.26,1,1,1.51
4,3,2,9,1.55,2,1,6.97
2,1,2,10,1.17,2,1,1.17
1,3,4,11,1.12,1,3,2.99
4,2,2,15,0.78,2,0,6.54
1,3,1,21,1.21,2,1,4.27
2,1,2,13,1.08,2,1,1.46
3,2,4,19,1.68,2,1,3.6
1,2,1,12,1.69,2,3,5.51
2,2,3,8,1.66,2,0,4.58
3,3,2,12,0.7,0,3,3.68
1,3,4,4,0.93,2,0,2.21
4,3,4,23,1.12,0,2,3.31
4,2,2,13,1.53,0,2,3.83
4,2,2,22,0.9,2,3,8.68
2,1,3,24,1.93,2,0,1.81
3,1,1,22,1.94,1,2,4.42
1,3,1,1,1.54,3,0,3.6
3,1,3,20,0.97,2,0,5.01
3,1,3,17,1.33,0,0,0.5
1,1,1,7,1.96,2,1,2.58
4,1,4,8,0.93,3,1,3.5
3,2,2,24,1.35,0,3,5.13
2,3,4,22,1.87,1,0,1.72
1,3,4,2,0.76,2,3,4.13
4,3,1,11,0.84,3,0,8.61
1,3,3,15,0.85,3,3,5.49
1,3,4,5,1.21,0,2,0.5
4,2,1,23,1.1,2,3,8.73
1,2,2,21,0.91,3,3,7.46
1,1,1,0,1.72,1,0,1.52
2,1,2,2,0.58,3,0,5.8
4,2,4,15,1.17,1,0,4.91
3,2,2,9,1.06,1,3,4.78
1,3,3,2,0.6,2,3,5.73
4,3,4,19,1.68,2,3,9.21
1,3,1,23,1.84,1,3,4.08
4,1,3,23,0.72,1,2,4.57
1,2,2,12,0.82,1,0,0.5
3,3,4,10,1.85,0,2,1.38
2,2,3,12,1.34,3,1,3.87
1,2,3,18,1.15,2,1,0.74
3,3,3,22,1.18,1,1,2.6
1,3,3,15,1.02,0,2,3.0
3,1,1,19,1.93,0,2,1.6
1,3,4,25,1.68,2,0,2.82
1,2,4,5,0.91,2,0,2.34
4,3,3,21,1.02,2,0,7.56
4,3,1,15,0.93,0,2,5.06
1,1,1,19,0.66,2,3,5.75
3,3,1,20,0.9,2,3,9.47
2,1,3,0,0.76,1,0,2.48
2,2,3,15,1.99,1,3,2.24
1,2,3,0,0.67,1,1,0.5
4,2,2,20,0.55,1,3,6.48
3,3,3,17,1.73,1,1,2.69
1,3,1,22,1.62,2,2,4.74
4,3,2,21,0.98,3,2,7.52
2,2,2,8,0.91,3,1,5.67
1,3,4,18,1.12,1,0,0.92
4,2,4,12,1.59,2,1,3.28
4,2,1,24,0.92,3,1,5.08
4,2,1,15,1.57,2,3,7.13
3,1,3,17,2.0,1,2,2.03
3,1,3,10,1.03,3,2,6.82
2,1,4,24,1.5,2,0,3.7
3,2,3,21,1.09,2,2,4.68
4,2,1,5,1.22,1,2,5.15
4,1,2,4,1.48,3,3,8.03
1,3,1,11,2.0,2,3,5.26
1,2,2,17,1.17,2,0,2.21
3,1,3,8,1.06,0,2,1.6
2,1,3,8,1.54,2,1,1.3
4,3,3,4,1.22,0,3,4.76
1,1,3,22,1.49,0,0,0.5
3,1,3,8,0.98,3,0,6.05
2,3,3,14,1.05,3,2,5.27
4,2,2,1,0.86,1,0,3.46
2,3,4,20,1.71,0,1,0.5
3,1,1,18,1.21,1,3,3.37
4,2,1,0,0.88,0,2,3.75
4,1,2,25,1.93,1,2,3.5
3,1,4,11,1.61,2,2,3.19
2,3,3,10,1.3,2,1,4.28
4,1,3,7,1.41,1,0,3.22
4,1,4,1,0.65,1,2,3.84
3,2,2,14,1.81,3,2,7.45
2,1,4,19,0.97,3,3,5.23
1,2,4,18,0.99,2,0,3.23
4,1,2,19,1.85,2,2,7.15
3,2,1,0,1.06,3,1,5.35
1,3,1,8,1.33,2,1,2.5
4,1,1,14,1.5,0,2,4.56
3,2,4,11,0.94,1,3,3.16
3,2,3,7,1.91,3,0,5.02
1,3,1,18,0.8,0,1,1.18
2,1,1,12,1.24,1,1,2.04
2,1,1,7,0.56,0,2,2.78
1,1,3,14,1.02,0,1,0.5
4,3,2,5,0.86,1,0,5.79
3,1,2,5,1.8,0,3,4.3
4,1,2,13,0.66,1,3,4.34
4,1,1,8,1.14,2,3,7.62
2,3,4,17,1.63,2,2,5.98
1,2,3,6,1.6,3,2,3.56
1,2,2,16,0.79,1,2,1.59
1,1,4,11,0.8,3,2,3.58
3,3,1,5,1.89,3,3,7.46
1,2,1,5,1.49,2,2,2.99
4,3,3,22,0.89,1,0,5.41
3,2,4,6,1.48,3,1,3.27
3,1,1,0,0.56,2,2,7.43
2,2,4,14,1.32,1,2,2.84
4,3,2,20,0.77,2,2,7.5
4,1,2,3,0.62,1,3,7.19
4,3,2,4,0.78,1,2,7.13
2,1,3,21,0.95,0,2,2.66
3,1,4,8,1.26,3,1,4.72
3,1,3,13,1.47,2,1,2.78
2,2,4,17,0.99,0,2,1.1
2,2,3,17,1.8,0,3,3.1
3,2,4,3,1.35,0,2,3.52
3,1,4,3,1.01,2,1,1.51
4,3,1,12,1.34,3,0,9.49
2,2,1,8,1.33,3,1,4.94
4,3,4,19,0.6,1,2,5.65
4,2,4,11,0.89,2,0,7.08
1,1,1,12,1.2,2,2,3.14
4,2,4,24,1.58,1,2,5.62
4,2,4,24,0.76,1,1,2.92
2,2,1,19,0.75,1,3,4.7
2,2,3,15,1.54,3,0,5.18
4,1,4,22,1.86,1,0,1.8
4,2,1,5,1.45,1,3,6.56
3,1,1,19,0.77,3,3,6.87
4,2,4,12,1.69,2,0,5.58
1,1,3,0,1.45,1,0,0.5
1,3,1,24,1.39,2,0,4.91
2,3,3,9,0.97,0,0,0.5
1,3,4,10,1.7,2,2,4.33
4,3,3,0,1.44,0,1,3.44
4,2,4,3,0.82,1,1,3.43
2,3,3,17,0.74,3,1,3.37
4,1,3,13,2.0,2,1,4.59
4,3,1,24,0.67,0,0,2.95
1,1,2,13,0.58,2,0,3.75
4,3,2,22,1.32,2,2,7.13
4,2,1,9,1.4,3,1,7.28
4,3,2,13,1.97,1,0,4.38
3,2,3,18,0.64,0,2,2.86
3,3,3,23,1.28,1,0,2.65
2,2,4,4,0.95,3,2,6.22
4,3,2,5,1.59,2,3,7.07
1,3,1,11,1.53,2,2,4.04
1,1,3,11,1.29,0,3,0.94
1,3,2,10,1.12,3,3,6.4
4,1,4,19,0.84,1,0,1.56
2,3,4,25,1.63,2,1,2.07
3,3,4,12,1.66,3,0,7.31
2,2,3,18,1.46,1,2,2.27
1,1,4,20,1.64,3,2,4.54
1,1,3,13,1.88,3,2,3.7
1,1,4,12,0.7,0,3,1.33
2,3,4,7,0.62,3,1,5.33
4,2,3,19,1.68,3,1,6.59
3,1,2,22,1.2,3,3,8.66
4,1,3,13,0.74,3,0,6.66
1,1,2,6,0.56,1,2,0.5
3,3,4,11,1.31,3,2,6.16
1,1,2,10,1.32,0,1,0.5
2,3,2,6,1.18,2,2,4.71
4,3,3,5,1.16,2,1,5.29
2,3,1,6,0.59,3,0,6.6
2,1,2,1,1.01,3,0,3.66
3,2,3,2,0.57,3,1,6.49
3,1,4,23,0.92,0,0,0.5
4,3,3,23,1.93,2,3,7.15
4,2,4,21,1.23,0,0,1.59
2,2,2,3,1.55,0,2,2.2
1,3,3,0,1.14,3,1,2.4
1,2,4,2,1.72,2,1,0.5
4,3,3,9,1.58,1,1,4.72
2,2,2,20,1.82,1,0,0.6
2,3,3,25,1.43,0,2,1.26
4,3,2,19,1.45,0,1,1.83
3,3,1,2,1.65,3,0,6.18
3,1,4,14,1.56,2,1,2.78
3,2,1,18,1.99,3,0,7.27
3,1,1,20,0.6,2,1,5.31
4,1,4,8,1.01,0,2,2.61
2,3,2,16,1.46,2,0,5.76
4,1,2,1,0.57,1,1,3.63
3,3,1,20,1.89,3,0,7.36
4,3,3,6,1.39,1,3,7.73
1,3,3,21,0.64,0,2,1.61
3,1,4,1,1.29,3,3,7.74
1,1,4,9,1.65,1,3,1.58
3,2,4,11,1.11,2,0,5.45
1,2,2,4,1.54,2,1,0.56
4,3,4,0,1.16,3,2,6.8
3,1,3,21,0.8,3,0,6.78
4,1,4,13,1.32,0,0,2.42
1,3,2,15,1.75,2,3,5.97
2,3,3,9,0.73,1,3,5.86
3,3,4,23,0.76,1,0,2.11
2,2,1,15,1.38,0,1,1.41
2,3,2,0,1.24,1,1,1.05
2,1,4,1,0.54,0,2,2.17
2,2,1,0,0.51,1,1,2.38
2,1,1,14,1.61,0,2,2.78
3,3,3,25,2.0,0,3,2.85
1,1,4,13,1.41,0,1,0.5
2,2,3,23,0.9,2,2,5.03
3,2,4,15,1.09,2,1,4.86
4,1,1,20,0.79,3,2,7.59
1,3,4,5,0.94,0,1,0.5
4,1,2,6,1.55,1,2,2.97
1,1,1,21,1.06,1,1,0.5
4,2,3,23,1.62,3,3,9.97
4,1,4,19,1.3,2,0,3.49
4,1,4,25,0.75,0,1,0.61
1,3,3,0,0.86,1,0,3.08
3,2,2,18,1.95,1,1,1.15
2,1,2,13,1.67,3,1,4.25
4,1,1,20,1.45,2,2,5.56
1,1,4,4,1.41,3,3,5.11
4,3,1,20,1.39,1,0,5.88
1,3,3,16,1.18,3,3,6.83
3,3,4,21,0.85,3,3,7.24
4,2,4,6,0.95,2,3,8.7
2,2,3,23,1.01,3,2,5.45
2,1,4,20,1.16,0,0,1.16
2,3,3,14,1.96,3,2,6.31
3,1,4,6,1.53,1,1,1.2
3,1,4,5,0.77,3,0,6.1
1,3,1,6,0.85,3,1,5.53
1,3,2,8,1.04,0,0,0.73
3,2,1,5,1.51,2,0,4.34
4,1,3,2,0.98,3,2,7.21
4,1,2,0,1.98,0,1,2.13
3,3,3,12,1.58,1,2,3.66
2,3,2,15,0.79,3,1,5.7
1,3,4,0,0.76,0,0,0.5
4,1,2,4,0.72,0,0,3.19
1,2,3,19,0.92,2,1,0.86
2,1,2,9,0.79,0,0,0.5
4,2,3,11,1.2,2,0,4.31
3,1,4,8,1.13,0,3,1.77
2,1,4,14,1.29,0,1,0.5
1,2,4,17,0.71,1,2,0.71
3,3,2,6,1.51,2,0,6.27
1,1,4,10,1.75,1,3,2.58
4,3,3,25,1.59,1,1,2.1
3,1,3,17,0.65,1,2,3.9
4,1,1,15,1.64,2,2,7.47
3,2,3,3,1.35,3,2,6.64
3,1,3,5,1.08,2,1,4.48
3,3,2,1,1.52,2,1,3.89
4,2,1,22,1.13,0,3,4.84
3,3,3,20,1.94,1,2,5.03
2,1,4,24,1.13,3,2,4.62
2,1,4,22,1.32,1,1,0.5
2,1,3,0,0.6,0,0,0.5
3,3,2,10,0.81,3,0,7.87
1,2,1,10,0.97,2,2,3.77
4,1,4,10,0.63,0,1,1.65
1,3,4,8,1.21,1,1,1.36
4,3,1,9,1.55,0,2,5.05
2,3,3,5,1.96,1,2,2.83
2,3,2,11,1.13,0,2,3.42
3,1,3,9,0.73,3,3,6.98
2,1,4,9,1.62,0,2,0.86
1,2,3,13,1.72,1,0,0.5
4,1,2,18,1.32,1,0,3.94
3,3,2,17,0.86,2,1,3.61
1,3,2,15,1.46,3,3,6.35
4,3,1,12,0.63,2,1,7.1
1,1,4,21,1.4,3,3,4.52
4,3,4,23,0.57,2,1,6.25
1,2,4,2,1.67,2,1,2.58
4,2,3,11,0.54,0,3,6.54
1,3,2,13,0.56,2,1,3.08
4,3,1,15,1.74,3,1,6.84
2,2,4,24,1.47,3,3,6.74
4,2,4,8,1.36,3,1,4.42
