heure_estimee,complexite,priorite,phase,experience_technicien,meteo,saison,duree_reelle
17,1,2,0,1.24,0,1,15.52
8,1,2,2,0.75,1,3,10.25
3,3,1,0,0.6,0,1,1.7
7,3,4,2,0.98,3,2,10.76
12,3,1,0,0.8,3,0,17.42
9,1,4,4,0.9,0,1,4.63
7,1,1,3,1.45,3,1,8.57
16,3,1,2,1.13,2,2,20.57
3,3,3,3,1.33,3,0,6.29
8,2,2,0,0.57,2,3,13.12
9,3,2,2,0.98,3,2,13.8
6,1,2,0,1.79,3,0,7.39
10,1,2,1,1.51,1,2,11.11
4,2,1,1,0.69,2,2,6.59
8,3,3,2,0.66,3,3,13.16
9,2,1,3,1.33,1,3,11.48
11,3,4,0,0.63,2,3,16.64
16,2,3,2,1.7,3,2,18.68
18,1,2,4,1.0,3,2,20.56
15,2,3,4,1.43,1,3,16.81
14,1,4,0,0.56,0,1,10.51
16,2,4,2,0.64,2,1,16.86
12,3,3,3,0.99,3,3,17.18
18,1,2,3,0.74,2,1,19.01
5,2,4,2,0.88,1,1,3.42
15,3,3,0,1.04,1,3,17.71
6,3,2,1,0.95,0,2,7.37
8,3,3,4,1.67,1,2,9.12
11,1,3,3,1.94,0,0,9.4
10,1,1,1,1.78,0,0,7.56
9,3,3,3,1.11,0,2,9.61
4,1,2,0,0.95,0,2,4.56
10,3,3,0,1.78,1,1,9.27
13,1,4,1,0.77,0,0,12.53
4,3,2,4,0.95,3,2,9.0
7,1,1,1,0.8,0,1,3.83
18,2,4,3,1.31,2,1,16.99
5,3,3,4,0.72,1,0,6.74
5,2,4,4,1.79,0,3,5.51
15,1,3,3,1.36,2,2,17.44
12,1,4,1,0.64,3,3,16.19
14,3,4,1,1.81,2,1,13.42
17,3,3,1,0.87,3,1,19.5
4,3,1,3,1.12,1,3,5.68
19,2,2,3,0.83,2,3,22.59
7,3,4,0,1.93,1,1,5.51
13,2,2,3,1.44,1,3,14.11
12,3,2,3,1.46,0,2,14.02
20,3,3,3,1.48,0,2,19.82
18,2,3,0,1.63,2,1,17.66
11,3,2,0,1.05,2,2,15.2
9,1,3,1,0.6,0,3,9.05
17,3,1,1,0.91,1,1,18.05
20,3,3,1,1.54,3,3,26.67
17,2,3,1,0.79,2,1,16.6
11,1,2,2,1.17,3,0,12.26
10,3,3,3,1.53,1,2,9.85
10,3,4,4,1.47,0,3,11.39
19,2,4,0,1.11,0,3,20.6
9,2,4,1,1.5,0,3,9.75
8,1,3,4,1.89,2,3,11.19
10,3,1,3,1.41,3,3,15.73
3,3,4,3,0.64,1,3,4.98
4,2,3,0,1.06,3,2,9.36
4,3,2,4,1.41,2,0,7.15
8,1,3,4,1.43,3,3,11.82
10,2,3,4,0.76,3,2,14.6
7,2,2,4,1.01,0,1,3.79
15,3,2,3,0.91,3,3,21.62
2,1,4,0,1.64,2,3,5.8
15,1,2,2,0.76,2,2,17.54
16,1,4,0,0.9,2,2,18.12
4,3,3,2,1.31,1,0,4.37
16,2,1,2,0.57,2,0,19.15
18,1,4,3,1.58,1,2,16.78
5,3,3,4,1.57,1,0,5.44
7,1,2,2,0.66,3,0,10.55
10,1,2,2,1.52,1,2,9.1
12,3,4,3,1.51,0,2,13.03
15,1,3,2,1.37,0,2,14.59
12,2,4,2,0.85,2,0,15.08
2,2,4,2,0.74,1,0,1.1
13,3,3,4,0.55,1,3,15.23
10,2,4,2,1.74,3,1,11.58
11,3,4,4,1.89,2,1,12.27
10,2,2,3,0.71,1,3,12.81
19,3,3,2,0.89,3,1,21.24
19,2,1,1,1.7,0,3,20.61
4,1,4,2,0.59,1,3,4.2
6,3,2,3,1.89,0,0,5.63
19,2,4,1,0.87,3,0,20.94
10,3,3,3,1.36,1,0,9.44
15,1,1,0,1.1,1,0,13.53
19,3,3,4,1.36,0,0,18.09
3,1,4,4,0.7,1,0,1.85
8,3,2,0,0.78,0,3,11.33
8,3,1,3,1.58,0,0,8.72
15,1,4,0,1.99,2,0,14.09
7,1,4,1,1.83,3,1,7.53
2,2,4,3,1.43,1,0,2.82
4,3,4,2,1.72,3,2,9.07
7,1,1,0,0.89,3,3,10.74
19,3,4,4,0.66,1,3,21.26
20,3,3,4,1.22,1,1,20.12
8,1,3,4,1.27,0,3,7.55
12,3,2,2,1.34,1,3,13.87
11,3,1,1,0.84,0,3,13.91
10,3,2,4,1.82,3,3,16.7
19,2,4,1,0.82,0,3,18.25
3,1,4,2,1.2,1,2,3.59
10,1,1,4,0.61,3,1,13.5
17,2,3,1,1.33,1,0,15.54
13,2,3,1,0.98,2,2,17.12
17,3,1,2,1.31,1,0,18.0
12,2,3,4,0.98,1,2,13.41
7,1,4,3,1.61,3,0,7.33
9,2,3,1,1.17,1,1,8.37
16,2,2,1,1.52,3,1,17.61
16,1,3,4,1.01,2,3,19.69
4,1,1,2,0.96,2,2,8.22
4,3,1,0,1.13,3,2,9.77
7,2,4,1,1.04,1,3,7.67
9,3,4,0,1.54,1,2,8.94
14,3,1,3,1.28,3,2,17.98
11,2,2,4,1.01,2,3,13.72
9,1,4,1,1.22,2,3,11.74
11,2,4,1,1.43,1,2,10.97
12,2,3,2,1.59,3,1,13.9
17,1,2,3,1.5,3,2,20.42
3,2,4,1,0.94,3,3,6.7
10,3,3,0,1.47,2,1,10.31
17,2,4,4,0.96,3,3,22.01
19,1,4,0,0.52,3,3,21.86
6,2,1,4,1.42,3,2,9.44
15,3,3,0,0.81,3,2,18.61
9,3,3,1,1.86,1,2,9.44
9,2,1,1,0.87,0,3,10.92
2,3,3,0,1.11,1,0,1.13
5,1,1,4,1.02,1,3,6.77
19,1,1,3,1.94,3,1,20.0
5,3,1,2,1.3,0,0,4.38
3,2,4,2,1.06,0,1,1.97
13,3,4,1,1.29,2,1,13.22
5,2,3,2,1.33,3,2,9.51
11,3,1,2,1.1,1,3,15.01
8,1,2,1,1.84,3,1,10.27
15,1,1,4,1.92,0,0,14.22
2,2,4,0,1.58,1,3,2.2
8,2,1,4,0.67,3,1,9.52
14,1,3,4,1.97,3,3,18.37
12,1,3,0,0.76,2,3,14.68
11,2,3,4,1.04,3,3,16.58
13,1,2,3,0.77,3,3,18.35
7,2,3,4,1.8,3,1,7.96
5,3,4,3,1.09,1,0,6.43
20,3,3,4,1.61,1,3,22.54
9,1,1,4,0.7,3,1,11.26
16,1,1,1,0.89,3,1,16.55
10,2,4,3,1.89,1,3,12.0
15,2,2,2,1.67,0,0,14.63
14,2,2,4,0.73,0,0,12.02
7,1,2,1,1.98,0,3,6.41
20,2,4,3,1.63,2,2,21.18
14,2,2,4,0.72,3,3,20.47
20,3,3,2,1.27,2,3,25.21
19,3,1,3,1.92,2,0,21.63
9,1,3,1,1.55,0,3,9.01
13,3,2,4,1.24,2,0,14.35
6,1,3,3,1.97,0,2,5.42
18,2,4,0,1.75,2,2,19.63
15,2,4,2,0.54,2,2,17.76
20,3,2,4,2.0,3,2,25.28
13,1,4,4,1.7,1,2,12.35
19,3,4,3,1.01,3,0,22.6
5,2,4,1,0.81,2,1,6.47
20,1,1,4,1.26,0,0,19.22
2,3,3,4,1.22,2,0,5.66
8,1,2,3,0.8,2,0,8.93
19,2,2,2,0.52,3,1,21.12
9,2,4,2,1.12,1,1,6.91
20,2,2,3,1.15,3,0,24.4
15,3,2,1,1.35,3,0,18.57
3,2,1,3,1.31,3,2,7.13
19,3,1,1,1.56,0,3,19.73
18,2,4,2,0.92,1,0,17.52
15,3,4,1,1.68,3,3,21.28
5,2,1,0,1.29,0,3,6.33
19,3,1,2,1.23,2,0,20.95
12,1,1,1,1.78,1,2,11.82
10,3,4,0,1.12,0,2,9.22
9,1,3,3,1.36,1,3,9.09
10,3,2,2,0.61,3,1,13.92
13,1,3,2,1.43,3,1,14.46
13,1,3,1,0.56,3,1,13.8
17,3,2,2,1.11,0,1,15.79
19,2,3,4,1.38,0,2,19.08
8,2,1,2,1.83,0,3,9.65
9,3,1,0,1.24,3,3,14.26
20,1,4,3,0.55,0,2,20.12
6,3,3,1,1.64,2,1,6.87
20,2,2,1,1.82,1,0,19.78
9,3,1,0,1.21,3,2,14.35
7,1,1,4,0.59,1,3,7.55
5,2,2,2,1.94,3,1,5.77
16,2,1,4,1.18,0,1,15.68
20,3,2,0,1.63,2,3,25.23
8,1,4,4,0.77,1,3,10.17
20,2,4,4,1.95,1,1,16.66
14,2,1,1,1.52,2,3,19.51
11,2,2,1,1.96,3,2,15.92
18,1,2,4,0.55,2,0,19.31
11,1,1,4,1.66,2,1,11.83
5,3,3,2,1.52,0,3,7.2
4,2,1,0,1.25,3,0,7.19
12,3,3,2,1.36,1,2,14.69
3,3,1,1,1.09,1,2,5.14
15,1,2,4,0.56,3,2,19.18
10,1,1,3,0.66,0,1,6.93
17,3,2,1,0.61,3,2,20.94
10,3,2,3,1.21,3,3,15.35
13,3,1,4,1.15,0,3,14.9
4,2,1,0,1.05,0,0,4.52
11,3,2,1,1.09,1,0,11.33
2,3,2,2,0.51,0,1,1.0
8,3,3,3,1.83,1,1,6.9
5,1,1,1,1.73,3,1,6.72
17,1,4,1,0.58,1,3,19.22
13,1,4,0,1.67,0,2,10.85
7,1,2,3,0.88,0,1,4.51
14,3,1,0,0.65,1,2,15.87
20,1,1,0,0.99,3,1,21.19
16,1,1,1,1.88,0,3,15.57
16,3,3,3,0.67,2,1,18.9
6,1,2,2,1.93,3,0,8.88
13,3,4,4,1.81,1,2,13.19
12,1,4,3,1.37,0,0,9.16
2,3,3,3,0.94,2,3,5.35
14,1,2,3,1.1,1,1,12.83
11,2,3,3,0.89,0,3,12.24
9,2,3,0,0.97,2,0,12.12
16,3,4,2,1.61,3,0,18.53
14,3,1,3,1.59,1,2,16.89
13,3,4,0,1.88,1,2,12.35
2,2,2,1,1.97,0,3,2.08
20,2,4,4,1.0,0,1,18.87
7,3,1,2,0.73,0,1,6.98
15,2,2,4,1.14,3,3,20.83
13,1,1,0,1.04,1,1,12.32
19,2,3,1,1.29,2,1,20.62
14,3,2,1,0.62,2,1,14.77
16,3,3,4,1.07,0,3,16.44
8,2,1,0,1.87,1,2,8.03
4,1,2,4,0.53,0,2,5.24
11,2,3,4,1.06,1,3,13.8
7,3,1,3,1.89,0,0,6.35
15,2,1,0,0.98,3,3,19.24
16,2,2,1,1.69,1,2,17.79
15,1,1,0,0.77,1,1,15.28
20,2,4,3,0.93,0,3,21.01
18,2,1,2,1.11,3,2,22.11
9,3,1,0,0.82,2,0,12.48
19,2,2,3,1.94,0,1,17.36
11,3,4,2,1.11,0,0,9.74
14,3,1,4,1.19,3,0,18.32
7,3,1,3,1.5,1,0,9.02
15,1,4,4,1.85,0,1,10.71
7,1,3,1,0.73,2,0,6.99
12,2,3,1,0.64,1,3,13.91
7,3,3,4,0.78,2,0,8.83
5,1,1,1,1.57,3,3,10.29
9,3,1,3,1.59,3,2,13.27
13,3,2,1,1.94,2,0,14.85
6,3,1,0,1.12,3,3,13.01
17,2,4,1,0.95,2,2,18.38
6,2,4,1,0.81,0,2,5.78
2,1,4,0,0.63,3,2,4.57
3,2,2,0,1.49,3,0,7.12
5,1,3,0,1.93,2,1,4.59
20,3,2,3,1.76,0,3,20.84
6,2,4,2,1.05,2,2,7.22
17,3,1,2,0.83,2,2,22.41
15,3,4,2,1.25,2,1,15.91
14,3,3,3,1.23,0,0,14.84
14,2,1,0,1.54,0,0,12.37
14,2,1,3,1.27,2,1,15.42
9,1,4,3,1.47,1,0,8.08
12,2,1,3,0.69,1,3,15.68
20,2,1,0,1.32,3,0,23.41
9,1,2,0,1.64,0,1,7.52
11,1,1,3,0.71,2,1,13.19
7,2,3,1,1.23,3,1,9.47
2,2,3,2,1.39,1,0,1.0
5,1,2,4,1.66,1,1,3.78
13,2,1,0,1.44,0,3,13.56
10,2,4,2,0.75,0,1,7.17
13,3,2,2,1.71,2,0,15.57
7,3,4,1,1.94,0,0,5.37
16,2,1,3,1.67,3,3,20.62
19,1,2,4,1.85,0,2,16.56
17,2,3,2,0.75,1,2,16.71
11,1,2,3,0.87,0,0,8.78
13,1,3,1,1.5,3,3,15.91
5,3,2,4,1.57,2,1,5.62
5,2,4,0,1.63,3,3,9.78
